indicator,region,year,gender,diabetes_rate,absolute value,id,title.fi,title.en
683,957,2010,total,7.4,5751,957,Etelä-Karjalan hyvinvointialue,South Karelia wellbeing services county
683,972,2010,total,8.9,8673,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county
683,975,2010,total,7.1,8330,975,Päijät-Hämeen hyvinvointialue,Päijät-Häme wellbeing services county
683,978,2010,total,6.9,17182,978,Varsinais-Suomen hyvinvointialue,Southwest Finland wellbeing services county
683,961,2010,total,6.6,3384,961,Itä-Uudenmaan hyvinvointialue,East Uusimaa wellbeing services county
683,973,2010,total,8.0,14960,973,Pohjois-Pohjanmaan hyvinvointialue,North Ostrobothnia wellbeing services county
683,967,2010,total,7.9,8088,967,Kymenlaakson hyvinvointialue,Kymenlaakso wellbeing services county
683,962,2010,total,8.5,3945,962,Kainuun hyvinvointialue,Kainuu wellbeing services county
683,966,2011,total,7.4,6983,966,Keski-Uudenmaan hyvinvointialue,Central Uusimaa wellbeing services county
683,963,2011,total,8.5,8239,963,Kanta-Hämeen hyvinvointialue,Kanta-Häme wellbeing services county
683,969,2011,total,6.3,13184,969,Länsi-Uudenmaan hyvinvointialue,West Uusimaa wellbeing services county
683,977,2011,total,7.5,8445,977,Vantaan ja Keravan hyvinvointialue,Vantaa and Kerava wellbeing services county
683,956,2011,total,4.4,686,956,Ahvenanmaa,Åland
683,960,2011,total,6.2,17741,960,Helsingin kaupunki,City of Helsinki
683,959,2011,total,9.3,8292,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county
683,965,2011,total,9.2,13044,965,Keski-Suomen hyvinvointialue,Central Finland wellbeing services county
683,971,2011,total,7.2,6504,971,Pohjanmaan hyvinvointialue,Ostrobothnia wellbeing services county
683,964,2011,total,9.0,3172,964,Keski-Pohjanmaan hyvinvointialue,Central Ostrobothnia wellbeing services county
683,970,2011,total,8.5,21751,970,Pirkanmaan hyvinvointialue,Pirkanmaa wellbeing services county
683,958,2011,total,10.7,11688,958,Etelä-Pohjanmaan hyvinvointialue,South Ostrobothnia wellbeing services county
683,976,2011,total,8.3,10729,976,Satakunnan hyvinvointialue,Satakunta wellbeing services county
683,975,2011,total,7.7,9144,975,Päijät-Hämeen hyvinvointialue,Päijät-Häme wellbeing services county
683,957,2011,total,8.2,6332,957,Etelä-Karjalan hyvinvointialue,South Karelia wellbeing services county
683,978,2011,total,7.8,19588,978,Varsinais-Suomen hyvinvointialue,Southwest Finland wellbeing services county
683,968,2011,total,8.8,9150,968,Lapin hyvinvointialue,Lapland wellbeing services county
683,972,2011,total,9.7,9497,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county
683,974,2011,total,9.5,13628,974,Pohjois-Savon hyvinvointialue,North Savo wellbeing services county
683,962,2011,total,9.5,4379,962,Kainuun hyvinvointialue,Kainuu wellbeing services county
683,973,2011,total,8.8,16590,973,Pohjois-Pohjanmaan hyvinvointialue,North Ostrobothnia wellbeing services county
683,961,2011,total,7.2,3692,961,Itä-Uudenmaan hyvinvointialue,East Uusimaa wellbeing services county
683,967,2011,total,8.8,9012,967,Kymenlaakson hyvinvointialue,Kymenlaakso wellbeing services county
683,958,2012,total,11.3,12328,958,Etelä-Pohjanmaan hyvinvointialue,South Ostrobothnia wellbeing services county
683,973,2012,total,9.3,17667,973,Pohjois-Pohjanmaan hyvinvointialue,North Ostrobothnia wellbeing services county
683,976,2012,total,8.8,11386,976,Satakunnan hyvinvointialue,Satakunta wellbeing services county
683,962,2012,total,10.1,4656,962,Kainuun hyvinvointialue,Kainuu wellbeing services county
683,965,2012,total,9.7,13854,965,Keski-Suomen hyvinvointialue,Central Finland wellbeing services county
683,968,2012,total,9.4,9742,968,Lapin hyvinvointialue,Lapland wellbeing services county
683,963,2012,total,9.1,8855,963,Kanta-Hämeen hyvinvointialue,Kanta-Häme wellbeing services county
683,975,2012,total,8.1,9692,975,Päijät-Hämeen hyvinvointialue,Päijät-Häme wellbeing services county
683,957,2012,total,8.6,6709,957,Etelä-Karjalan hyvinvointialue,South Karelia wellbeing services county
683,970,2012,total,9.2,23624,970,Pirkanmaan hyvinvointialue,Pirkanmaa wellbeing services county
683,969,2012,total,6.7,14381,969,Länsi-Uudenmaan hyvinvointialue,West Uusimaa wellbeing services county
683,964,2012,total,9.4,3316,964,Keski-Pohjanmaan hyvinvointialue,Central Ostrobothnia wellbeing services county
683,967,2012,total,9.3,9578,967,Kymenlaakson hyvinvointialue,Kymenlaakso wellbeing services county
683,971,2012,total,7.6,6875,971,Pohjanmaan hyvinvointialue,Ostrobothnia wellbeing services county
683,956,2012,total,4.7,729,956,Ahvenanmaa,Åland
683,974,2012,total,10.1,14391,974,Pohjois-Savon hyvinvointialue,North Savo wellbeing services county
683,977,2012,total,8.0,9185,977,Vantaan ja Keravan hyvinvointialue,Vantaa and Kerava wellbeing services county
683,972,2012,total,10.3,10029,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county
683,959,2012,total,9.7,8664,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county
683,960,2012,total,6.6,19111,960,Helsingin kaupunki,City of Helsinki
683,966,2012,total,7.9,7546,966,Keski-Uudenmaan hyvinvointialue,Central Uusimaa wellbeing services county
683,961,2012,total,7.7,3989,961,Itä-Uudenmaan hyvinvointialue,East Uusimaa wellbeing services county
683,978,2012,total,8.4,21185,978,Varsinais-Suomen hyvinvointialue,Southwest Finland wellbeing services county
683,962,2013,total,10.6,4864,962,Kainuun hyvinvointialue,Kainuu wellbeing services county
683,965,2013,total,10.1,14406,965,Keski-Suomen hyvinvointialue,Central Finland wellbeing services county
683,973,2013,total,9.7,18674,973,Pohjois-Pohjanmaan hyvinvointialue,North Ostrobothnia wellbeing services county
683,958,2013,total,11.9,12952,958,Etelä-Pohjanmaan hyvinvointialue,South Ostrobothnia wellbeing services county
683,976,2013,total,9.3,12050,976,Satakunnan hyvinvointialue,Satakunta wellbeing services county
683,975,2013,total,8.6,10211,975,Päijät-Hämeen hyvinvointialue,Päijät-Häme wellbeing services county
683,957,2013,total,9.1,7055,957,Etelä-Karjalan hyvinvointialue,South Karelia wellbeing services county
683,969,2013,total,7.3,15740,969,Länsi-Uudenmaan hyvinvointialue,West Uusimaa wellbeing services county
683,970,2013,total,9.8,25393,970,Pirkanmaan hyvinvointialue,Pirkanmaa wellbeing services county
683,968,2013,total,9.9,10231,968,Lapin hyvinvointialue,Lapland wellbeing services county
683,963,2013,total,9.5,9300,963,Kanta-Hämeen hyvinvointialue,Kanta-Häme wellbeing services county
683,956,2013,total,4.8,755,956,Ahvenanmaa,Åland
683,971,2013,total,7.9,7147,971,Pohjanmaan hyvinvointialue,Ostrobothnia wellbeing services county
683,974,2013,total,10.7,15303,974,Pohjois-Savon hyvinvointialue,North Savo wellbeing services county
683,964,2013,total,9.7,3434,964,Keski-Pohjanmaan hyvinvointialue,Central Ostrobothnia wellbeing services county
683,967,2013,total,9.9,10190,967,Kymenlaakson hyvinvointialue,Kymenlaakso wellbeing services county
683,966,2013,total,8.5,8238,966,Keski-Uudenmaan hyvinvointialue,Central Uusimaa wellbeing services county
683,961,2013,total,8.3,4356,961,Itä-Uudenmaan hyvinvointialue,East Uusimaa wellbeing services county
683,978,2013,total,9.0,22586,978,Varsinais-Suomen hyvinvointialue,Southwest Finland wellbeing services county
683,960,2013,total,7.1,20493,960,Helsingin kaupunki,City of Helsinki
683,977,2013,total,8.6,9978,977,Vantaan ja Keravan hyvinvointialue,Vantaa and Kerava wellbeing services county
683,959,2013,total,10.3,9131,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county
683,972,2013,total,10.9,10552,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county
683,968,2014,total,10.4,10731,968,Lapin hyvinvointialue,Lapland wellbeing services county
683,972,2014,total,11.5,11085,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county
683,975,2014,total,8.9,10669,975,Päijät-Hämeen hyvinvointialue,Päijät-Häme wellbeing services county
683,978,2014,total,9.3,23662,978,Varsinais-Suomen hyvinvointialue,Southwest Finland wellbeing services county
683,961,2014,total,8.8,4648,961,Itä-Uudenmaan hyvinvointialue,East Uusimaa wellbeing services county
683,957,2014,total,9.6,7411,957,Etelä-Karjalan hyvinvointialue,South Karelia wellbeing services county
683,973,2014,total,10.2,19774,973,Pohjois-Pohjanmaan hyvinvointialue,North Ostrobothnia wellbeing services county
683,967,2014,total,10.5,10714,967,Kymenlaakson hyvinvointialue,Kymenlaakso wellbeing services county
683,956,2014,total,4.8,768,956,Ahvenanmaa,Åland
683,962,2014,total,11.2,5115,962,Kainuun hyvinvointialue,Kainuu wellbeing services county
683,974,2014,total,11.2,15936,974,Pohjois-Savon hyvinvointialue,North Savo wellbeing services county
683,960,2014,total,7.4,21807,960,Helsingin kaupunki,City of Helsinki
683,959,2014,total,10.8,9514,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county
683,963,2014,total,10.1,9867,963,Kanta-Hämeen hyvinvointialue,Kanta-Häme wellbeing services county
683,969,2014,total,7.7,17031,969,Länsi-Uudenmaan hyvinvointialue,West Uusimaa wellbeing services county
683,966,2014,total,9.1,8911,966,Keski-Uudenmaan hyvinvointialue,Central Uusimaa wellbeing services county
683,970,2014,total,10.3,26760,970,Pirkanmaan hyvinvointialue,Pirkanmaa wellbeing services county
