indicator,region,year,gender,primary value,absolute value,id,title.fi,title.en,Information,Year,Region,value,hva_code,region_name
683,961,2018,total,10.3,5658,961,Itä-Uudenmaan hyvinvointialue,East Uusimaa wellbeing services county,"Disposable monetary income per consumption unit, median",2018,HVA01 East Uusimaa wellbeing services county,31506,HVA01,East Uusimaa wellbeing services county
683,978,2018,total,10.5,27308,978,Varsinais-Suomen hyvinvointialue,Southwest Finland wellbeing services county,"Disposable monetary income per consumption unit, median",2018,HVA05 Southwest Finland wellbeing services county,28054,HVA05,Southwest Finland wellbeing services county
683,964,2018,total,10.8,3879,964,Keski-Pohjanmaan hyvinvointialue,Central Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2018,HVA18 Central Ostrobothnia wellbeing services county,27803,HVA18,Central Ostrobothnia wellbeing services county
683,967,2018,total,12.0,12248,967,Kymenlaakson hyvinvointialue,Kymenlaakso wellbeing services county,"Disposable monetary income per consumption unit, median",2018,HVA10 Kymenlaakso wellbeing services county,27318,HVA10,Kymenlaakso wellbeing services county
683,962,2018,total,12.3,5495,962,Kainuun hyvinvointialue,Kainuu wellbeing services county,"Disposable monetary income per consumption unit, median",2018,HVA20 Kainuu wellbeing services county,26477,HVA20,Kainuu wellbeing services county
683,974,2018,total,12.8,18189,974,Pohjois-Savon hyvinvointialue,North Savo wellbeing services county,"Disposable monetary income per consumption unit, median",2018,HVA13 North Savo wellbeing services county,26743,HVA13,North Savo wellbeing services county
683,956,2018,total,5.4,895,956,Ahvenanmaa,Åland,"Disposable monetary income per consumption unit, median",2018,HVA91 Åland,33716,HVA91,Åland
683,968,2018,total,11.8,12118,968,Lapin hyvinvointialue,Lapland wellbeing services county,"Disposable monetary income per consumption unit, median",2018,HVA21 Lapland wellbeing services county,27334,HVA21,Lapland wellbeing services county
683,966,2019,total,11.0,11687,966,Keski-Uudenmaan hyvinvointialue,Central Uusimaa wellbeing services county,"Disposable monetary income per consumption unit, median",2019,HVA02 Central Uusimaa wellbeing services county,32625,HVA02,Central Uusimaa wellbeing services county
683,969,2019,total,9.3,22187,969,Länsi-Uudenmaan hyvinvointialue,West Uusimaa wellbeing services county,"Disposable monetary income per consumption unit, median",2019,HVA03 West Uusimaa wellbeing services county,33700,HVA03,West Uusimaa wellbeing services county
683,977,2019,total,10.6,13591,977,Vantaan ja Keravan hyvinvointialue,Vantaa and Kerava wellbeing services county,"Disposable monetary income per consumption unit, median",2019,HVA04 Vantaa and Kerava wellbeing services county,31610,HVA04,Vantaa and Kerava wellbeing services county
683,974,2019,total,13.3,19004,974,Pohjois-Savon hyvinvointialue,North Savo wellbeing services county,"Disposable monetary income per consumption unit, median",2019,HVA13 North Savo wellbeing services county,27087,HVA13,North Savo wellbeing services county
683,971,2019,total,9.5,8751,971,Pohjanmaan hyvinvointialue,Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2019,HVA17 Ostrobothnia wellbeing services county,28909,HVA17,Ostrobothnia wellbeing services county
683,958,2019,total,13.2,14391,958,Etelä-Pohjanmaan hyvinvointialue,South Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2019,HVA16 South Ostrobothnia wellbeing services county,27392,HVA16,South Ostrobothnia wellbeing services county
683,976,2019,total,11.3,14510,976,Satakunnan hyvinvointialue,Satakunta wellbeing services county,"Disposable monetary income per consumption unit, median",2019,HVA06 Satakunta wellbeing services county,27717,HVA06,Satakunta wellbeing services county
683,962,2019,total,12.6,5574,962,Kainuun hyvinvointialue,Kainuu wellbeing services county,"Disposable monetary income per consumption unit, median",2019,HVA20 Kainuu wellbeing services county,26801,HVA20,Kainuu wellbeing services county
683,956,2019,total,5.8,969,956,Ahvenanmaa,Åland,"Disposable monetary income per consumption unit, median",2019,HVA91 Åland,34238,HVA91,Åland
683,968,2019,total,12.2,12419,968,Lapin hyvinvointialue,Lapland wellbeing services county,"Disposable monetary income per consumption unit, median",2019,HVA21 Lapland wellbeing services county,27781,HVA21,Lapland wellbeing services county
683,970,2019,total,11.6,31651,970,Pirkanmaan hyvinvointialue,Pirkanmaa wellbeing services county,"Disposable monetary income per consumption unit, median",2019,HVA08 Pirkanmaa wellbeing services county,28156,HVA08,Pirkanmaa wellbeing services county
683,975,2019,total,10.4,12721,975,Päijät-Hämeen hyvinvointialue,Päijät-Häme wellbeing services county,"Disposable monetary income per consumption unit, median",2019,HVA09 Päijät-Häme wellbeing services county,27357,HVA09,Päijät-Häme wellbeing services county
683,963,2019,total,12.0,11993,963,Kanta-Hämeen hyvinvointialue,Kanta-Häme wellbeing services county,"Disposable monetary income per consumption unit, median",2019,HVA07 Kanta-Häme wellbeing services county,28651,HVA07,Kanta-Häme wellbeing services county
683,957,2019,total,11.1,8514,957,Etelä-Karjalan hyvinvointialue,South Karelia wellbeing services county,"Disposable monetary income per consumption unit, median",2019,HVA11 South Karelia wellbeing services county,27054,HVA11,South Karelia wellbeing services county
683,972,2019,total,13.4,12776,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county,"Disposable monetary income per consumption unit, median",2019,HVA14 North Karelia wellbeing services county,25438,HVA14,North Karelia wellbeing services county
683,961,2019,total,10.6,5900,961,Itä-Uudenmaan hyvinvointialue,East Uusimaa wellbeing services county,"Disposable monetary income per consumption unit, median",2019,HVA01 East Uusimaa wellbeing services county,31964,HVA01,East Uusimaa wellbeing services county
683,964,2019,total,11.2,4034,964,Keski-Pohjanmaan hyvinvointialue,Central Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2019,HVA18 Central Ostrobothnia wellbeing services county,28100,HVA18,Central Ostrobothnia wellbeing services county
683,967,2019,total,12.4,12608,967,Kymenlaakson hyvinvointialue,Kymenlaakso wellbeing services county,"Disposable monetary income per consumption unit, median",2019,HVA10 Kymenlaakso wellbeing services county,27617,HVA10,Kymenlaakso wellbeing services county
683,973,2019,total,11.5,23487,973,Pohjois-Pohjanmaan hyvinvointialue,North Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2019,HVA19 North Ostrobothnia wellbeing services county,27772,HVA19,North Ostrobothnia wellbeing services county
683,965,2019,total,11.9,17391,965,Keski-Suomen hyvinvointialue,Central Finland wellbeing services county,"Disposable monetary income per consumption unit, median",2019,HVA15 Central Finland wellbeing services county,26918,HVA15,Central Finland wellbeing services county
683,960,2019,total,8.5,26706,960,Helsingin kaupunki,City of Helsinki,"Disposable monetary income per consumption unit, median",2019,HVA90 City of Helsinki,32362,HVA90,City of Helsinki
683,959,2019,total,12.8,10965,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county,"Disposable monetary income per consumption unit, median",2019,HVA12 South Savo wellbeing services county,26417,HVA12,South Savo wellbeing services county
683,978,2019,total,10.8,28422,978,Varsinais-Suomen hyvinvointialue,Southwest Finland wellbeing services county,"Disposable monetary income per consumption unit, median",2019,HVA05 Southwest Finland wellbeing services county,28440,HVA05,Southwest Finland wellbeing services county
